id,state,district,city,lat,lon,street_name,road_type,time_of_day,day_of_week,crime_rate,lighting_level,crowd_density,cctv_count,distance_to_police_m,recent_reports,population_density_per_km2,safety_score,is_safe
1,Maharashtra,Mumbai,Mumbai,19.050908,72.967843,Main Street 26,College Area,Evening,Tuesday,0.295,0.902,0.915,9,371,1,22961,78.64,safe
2,Maharashtra,Mumbai,Mumbai,19.099496,72.900031,Shivaji Path 143,College Area,Morning,Saturday,0.207,0.606,0.841,10,345,1,21401,81.04,safe
3,Maharashtra,Mumbai,Mumbai,19.0661,72.780353,School Street 90,Market Street,Night,Monday,0.28,0.566,0.479,8,372,0,21312,56.47,medium
4,Maharashtra,Mumbai,Mumbai,19.038342,72.881714,MG Road 96,Main Road,Afternoon,Friday,0.217,0.817,0.83,9,951,0,18226,85.26,safe
5,Maharashtra,Mumbai,Mumbai,19.041066,72.855435,MG Road 575,Main Road,Night,Tuesday,0.297,0.546,0.198,11,437,0,18070,54.52,medium
6,Maharashtra,Mumbai,Mumbai,19.015768,72.919968,Railway Station Road 604,Highway,Morning,Sunday,0.112,0.998,0.696,10,1037,0,19625,95.33,safe
7,Maharashtra,Mumbai,Mumbai,19.121921,72.905211,Gandhi Chowk 715,Alley,Evening,Wednesday,0.323,0.45,0.554,4,988,1,22478,38.7,not safe
8,Maharashtra,Mumbai,Mumbai,19.071074,72.890355,Park Lane 221,Highway,Morning,Monday,0.135,0.872,0.564,13,1309,0,19478,87.48,safe
9,Maharashtra,Mumbai,Mumbai,18.997099,72.869007,Commercial Complex 100,Highway,Evening,Friday,0.159,0.71,0.648,12,1034,0,18823,78.77,safe
10,Maharashtra,Mumbai,Mumbai,19.082818,72.874666,Market Road 827,Residential,Night,Friday,0.335,0.29,0.237,7,1468,0,20486,33.1,not safe
11,Maharashtra,Mumbai,Mumbai,19.036176,72.834668,Main Street 997,Alley,Morning,Friday,0.34,0.407,0.201,8,1739,1,19848,39.3,not safe
12,Maharashtra,Mumbai,Mumbai,19.024432,72.938328,Temple Street 850,College Area,Evening,Friday,0.23,0.786,0.947,9,375,0,19101,83.31,safe
13,Maharashtra,Mumbai,Mumbai,19.11823,72.9396,Nehru Road 722,Residential,Morning,Saturday,0.188,0.673,0.378,6,995,0,18874,65.77,medium
14,Maharashtra,Mumbai,Mumbai,19.172434,72.881027,Shivaji Path 792,Highway,Morning,Sunday,0.262,0.956,0.575,11,783,4,20903,68.62,medium
15,Maharashtra,Mumbai,Mumbai,19.050457,72.965727,Shivaji Path 888,Residential,Night,Wednesday,0.246,0.207,0.123,8,1114,2,19838,24.69,not safe
16,Maharashtra,Mumbai,Mumbai,19.02904,72.826498,Railway Station Road 651,Highway,Afternoon,Wednesday,0.198,0.992,0.651,11,1151,0,20860,89.12,safe
17,Maharashtra,Mumbai,Mumbai,19.129711,72.786421,Housing Society 215,College Area,Evening,Saturday,0.229,0.769,1.0,10,514,0,19925,84.78,safe
18,Maharashtra,Mumbai,Mumbai,19.146227,72.841084,College Road 624,College Area,Afternoon,Friday,0.195,0.921,0.663,8,404,0,19612,85.42,safe
19,Maharashtra,Mumbai,Mumbai,19.145734,72.805024,Shivaji Path 168,Alley,Night,Wednesday,0.375,0.328,0.0,5,1904,3,19877,1.93,not safe
20,Maharashtra,Mumbai,Mumbai,18.994796,72.893356,School Street 225,College Area,Evening,Sunday,0.061,0.746,0.87,11,425,0,22139,87.09,safe
21,Maharashtra,Mumbai,Mumbai,19.030309,72.97075,Station Road 235,Residential,Evening,Thursday,0.381,0.585,0.544,7,755,0,20194,56.8,medium
22,Maharashtra,Mumbai,Mumbai,18.991691,72.78277,Market Road 68,Main Road,Evening,Tuesday,0.091,0.723,1.0,9,553,0,20583,87.08,safe
23,Maharashtra,Mumbai,Mumbai,19.107422,72.864835,Bus Stand 406,College Area,Night,Tuesday,0.112,0.573,0.399,10,727,0,20367,62.31,medium
24,Maharashtra,Mumbai,Mumbai,19.01064,72.86447,Market Road 143,Main Road,Evening,Saturday,0.138,0.963,0.685,12,408,0,21079,87.59,safe
25,Maharashtra,Mumbai,Mumbai,19.164778,72.96655,IT Park 920,Market Street,Night,Wednesday,0.304,0.593,0.591,9,573,1,18346,54.16,medium
26,Maharashtra,Mumbai,Mumbai,18.996156,72.781344,Shivaji Path 142,Market Street,Night,Monday,0.373,0.528,0.407,7,303,1,22683,45.13,medium
27,Maharashtra,Mumbai,Mumbai,18.983837,72.861289,Station Road 882,Residential,Afternoon,Saturday,0.265,0.799,0.752,7,774,1,21754,69.69,medium
28,Maharashtra,Mumbai,Mumbai,19.126909,72.798325,Gandhi Chowk 812,College Area,Night,Friday,0.043,0.551,0.59,7,494,0,22750,64.31,medium
29,Maharashtra,Mumbai,Mumbai,19.166121,72.892388,College Road 395,Alley,Night,Friday,0.248,0.359,0.0,6,2456,1,21685,17.53,not safe
30,Maharashtra,Mumbai,Mumbai,19.085183,72.918866,Market Road 995,Market Street,Morning,Saturday,0.149,0.809,0.812,11,215,0,22315,91.92,safe
31,Maharashtra,Mumbai,Mumbai,19.152072,72.825037,Main Street 699,Market Street,Evening,Sunday,0.289,0.783,1.0,9,557,0,20343,80.62,safe
32,Maharashtra,Mumbai,Mumbai,18.987261,72.801464,Industrial Area 115,Highway,Night,Tuesday,0.105,0.682,0.076,9,1521,0,22010,56.32,medium
33,Maharashtra,Mumbai,Mumbai,19.17158,72.888901,Railway Station Road 4,College Area,Evening,Friday,0.203,0.74,1.0,7,647,1,19404,74.67,safe
34,Maharashtra,Mumbai,Mumbai,19.166082,72.955753,Gandhi Chowk 520,Residential,Evening,Sunday,0.153,0.819,0.479,6,485,2,19547,58.04,medium
35,Maharashtra,Mumbai,Mumbai,19.138759,72.914646,Hospital Road 624,Main Road,Afternoon,Wednesday,0.294,1.0,0.905,9,331,0,21747,92.12,safe
36,Maharashtra,Mumbai,Mumbai,19.054598,72.943533,Gandhi Chowk 553,Market Street,Morning,Friday,0.257,0.731,0.816,7,539,2,22723,70.69,safe
37,Maharashtra,Mumbai,Mumbai,19.145929,72.82717,Industrial Area 501,Residential,Morning,Wednesday,0.153,0.686,0.418,5,1138,1,22260,60.73,medium
38,Maharashtra,Mumbai,Mumbai,19.086381,72.889888,Temple Street 246,Residential,Afternoon,Friday,0.311,0.725,0.646,9,415,1,20187,69.14,medium
39,Maharashtra,Mumbai,Mumbai,19.156832,72.847351,College Road 88,College Area,Night,Sunday,0.38,0.557,0.694,9,529,0,21104,59.26,medium
40,Maharashtra,Mumbai,Mumbai,19.045483,72.819526,College Road 779,Market Street,Afternoon,Tuesday,0.132,0.668,1.0,7,463,0,22371,84.92,safe
